DATAFLOW,LAST UPDATE,freq,unit,icha11_hf,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF1,AT,2019,75.07,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF1,BA,2019,70.27,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF1,BE,2019,75.26,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF1,BG,2019,60.59,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF1,CH,2019,66.76,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF1,CY,2019,54.20,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF1,CZ,2019,84.99,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF1,DE,2019,84.02,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF1,DK,2019,83.71,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF1,EA12,2019,79.58,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF1,EA18,2019,79.47,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF1,EA19,2019,79.43,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF1,EE,2019,74.47,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF1,EL,2019,61.51,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF1,ES,2019,70.61,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF1,EU15,2019,79.67,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF1,EU27_2007,2019,79.35,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF1,EU27_2020,2019,79.51,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF1,EU28,2019,79.35,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF1,FI,2019,77.87,
